cfg_batch_size,cfg_num_heads,cfg_head_dim,cfg_seq_len,cfg_dtype,cfg_device,cfg_mode,cfg_pattern_type,cfg_backend,cfg_causal,cfg_topk,cfg_window_size,cfg_block_size,pattern_build_time_ms_mean,pattern_build_time_ms_p50,pattern_build_time_ms_p95,attention_time_ms_mean,attention_time_ms_p50,attention_time_ms_p95,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,keep_ratio,sparsity_ratio,_status
1,8,64,2048,fp16,cuda,decode,topk,masked_sdpa,True,64,,,0.007771840040804818,0.005119999870657921,0.008191999979317188,0.07787391930818557,0.07782399654388428,0.08294399827718735,0.08075231820344925,0.07884799689054489,0.08396799862384796,20.158203125,1.0108860731124878,-0.01959739811718464,1.0,0.0,ok
1,8,64,2048,fp16,cuda,decode,topk,masked_sdpa,True,128,,,0.005559359968174249,0.005119999870657921,0.009216000325977802,0.08389631867408752,0.07884799689054489,0.08401919864118099,0.08175359837710858,0.08191999793052673,0.08601599931716919,20.158203125,1.0016369819641113,0.03238670527935028,1.0,0.0,ok
1,8,64,2048,fp16,cuda,decode,local_window,masked_sdpa,True,,64,,0.006277120066806674,0.006144000217318535,0.009265600331127642,0.06333024010062217,0.06451199948787689,0.06758400052785873,0.07016448009759188,0.0655359998345375,0.07168000191450119,20.16015625,0.0,0.9999999403953552,0.00048828125,0.99951171875,ok
1,8,64,2048,fp16,cuda,decode,local_window,masked_sdpa,True,,128,,0.005876160010229796,0.005119999870657921,0.009216000325977802,0.06558719996362924,0.062463998794555664,0.07062560133635998,0.06925216026604175,0.06654400005936623,0.0707072015851736,20.16015625,0.0,1.0,0.00048828125,0.99951171875,ok
1,8,64,2048,fp16,cuda,decode,local_window,masked_sdpa,True,,256,,0.006165120070800185,0.006144000217318535,0.010239999741315842,0.06367232006043196,0.06399999931454659,0.06860800087451935,0.07239680048078298,0.06656000018119812,0.0778751965612173,20.16015625,0.0,0.9999999403953552,0.00048828125,0.99951171875,ok
1,8,64,2048,fp16,cuda,decode,bigbird,masked_sdpa,True,64,,,0.005526719954796136,0.005119999870657921,0.009185600094497204,0.06200287990272045,0.06143999844789505,0.06865920089185237,0.06566656026989222,0.06399999931454659,0.06963200122117996,20.15869140625,0.9992000460624695,0.04013209417462349,1.0,0.0,ok
1,8,64,2048,fp16,cuda,decode,bigbird,masked_sdpa,True,128,,,0.005733759969007224,0.005119999870657921,0.010239999741315842,0.06377376016229391,0.06143999844789505,0.07065600156784058,0.07084928032010794,0.06656000018119812,0.07582560330629348,20.15869140625,1.0016403198242188,-0.031754203140735626,1.0,0.0,ok
1,8,64,4096,fp16,cuda,prefill,dense,dense_sdpa,True,,,,0.004966719942167401,0.005119999870657921,0.006144000217318535,0.22041600003838538,0.21913599967956543,0.22430719435214996,0.21968863859772683,0.21913599967956543,0.22430719435214996,28.2509765625,0.0,1.0000001192092896,1.0,0.0,ok
1,8,64,4096,fp16,cuda,prefill,topk,masked_sdpa,True,32,,,0.22560767870396375,0.22118400037288666,0.2843648061156272,5.539768323898316,5.5316481590271,5.574656009674072,5.751685109138489,5.742079973220825,5.817548990249634,818.125,2.387749433517456,0.6317367553710938,0.015562072858188919,0.9844379271418111,ok
1,8,64,4096,fp16,cuda,prefill,topk,masked_sdpa,True,64,,,0.23197599828243257,0.2252800017595291,0.2805759906768799,5.655992350578308,5.646336078643799,5.7223169803619385,5.877304606437683,5.867520093917847,5.951795220375061,828.125,1.57456374168396,0.7243955135345459,0.031002105198926044,0.968997894801074,ok
