cfg_batch_size,cfg_num_heads,cfg_head_dim,cfg_seq_len,cfg_dtype,cfg_device,cfg_mode,cfg_pattern_type,cfg_backend,cfg_causal,cfg_topk,cfg_keep_ratio,cfg_window_size,cfg_block_size,timing_source,actual_backend,pattern_build_time_ms_mean,pattern_build_time_ms_p50,pattern_build_time_ms_p95,attention_time_ms_mean,attention_time_ms_p50,attention_time_ms_p95,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,kl_divergence,keep_ratio,sparsity_ratio,_status
1,8,64,512,bf16,cuda,prefill,bigbird,triton_universal,True,64,,,,real_cuda,triton_universal,0.0057683200854808095,0.005807999987155199,0.006144000217318535,0.032560639902949336,0.03268799930810928,0.034591998904943466,0.03828736007213593,0.035599999129772186,0.03743359986692667,4.5166015625,0.5925020575523376,0.8588014841079712,0.004521974764102898,0.2222222222222222,0.7777777777777778,ok
1,8,64,512,bf16,cuda,prefill,bigbird,triton_universal,True,128,,,,real_cuda,triton_universal,0.005747200036421418,0.005743999965488911,0.006144000217318535,0.03559296034276485,0.035551998764276505,0.037617599591612816,0.038661120384931566,0.038736000657081604,0.040006399154663086,4.52294921875,0.3851221203804016,0.9329191446304321,0.0020052456058707595,0.43420291179337234,0.5657970882066277,ok
1,8,64,512,bf16,cuda,decode,dense,dense_sdpa,True,,,,,real_cuda,DenseSdpaBackend,0.0041740799881517885,0.004095999989658594,0.004820799874141812,0.010925439931452275,0.010975999757647514,0.011281600221991539,0.011290879994630814,0.011264000087976456,0.012067200103774666,1.0029296875,0.0,1.0,0.0,1.0,0.0,ok
1,8,64,512,bf16,cuda,decode,bigbird_keep_ratio,triton_bigbird,True,,0.25,,,real_cuda,triton_bigbird,0.005792640056461096,0.0058559998869895935,0.006324799940921366,0.03523776024580002,0.03481600061058998,0.03721599988639355,0.050480000004172326,0.03863999992609024,0.17530879899859428,1.00830078125,1.0062199831008911,0.004987807944417,0.44835696778860507,0.248046875,0.751953125,ok
1,8,64,512,bf16,cuda,decode,bigbird_keep_ratio,triton_bigbird,True,,0.5,,,real_cuda,triton_bigbird,0.005672960071824491,0.005775999976322055,0.006144000217318535,0.03723776049911976,0.03686400130391121,0.03891199827194214,0.045060479268431666,0.040720000863075256,0.04854399953037498,1.00830078125,1.0002094507217407,0.04874299839138985,0.4956604621430534,0.5,0.5,ok
1,8,64,512,bf16,cuda,decode,bigbird,triton_universal,True,64,,,,real_cuda,triton_universal,0.0057888000458478925,0.005904000019654632,0.006144000217318535,0.031743999905884265,0.03150400146842003,0.03370559960603714,0.041152000082656744,0.03455999866127968,0.03686400130391121,1.00830078125,1.007863998413086,0.019733987748622894,0.5276302648263437,0.125,0.875,ok
1,8,64,512,bf16,cuda,decode,bigbird,triton_universal,True,128,,,,real_cuda,triton_universal,0.005728000048547983,0.005632000043988228,0.006144000217318535,0.03962047958746553,0.03276799991726875,0.035185599327087404,0.036512000337243083,0.03651199862360954,0.03788800165057182,1.00830078125,0.9978170990943909,0.08113793283700943,0.40314193535874254,0.248046875,0.751953125,ok
1,8,64,1024,bf16,cuda,prefill,dense,dense_sdpa,True,,,,,real_cuda,DenseSdpaBackend,0.004055040008388459,0.004095999989658594,0.004873600020073354,0.0388128000497818,0.03276799991726875,0.03491840064525604,0.03336256008595228,0.03372799977660179,0.03379200026392937,9.0947265625,0.0,0.9999999403953552,0.0,1.0,0.0,ok
1,8,64,1024,bf16,cuda,prefill,bigbird_keep_ratio,triton_bigbird,True,,0.25,,,real_cuda,triton_bigbird,0.00588672005571425,0.006000000052154064,0.00628480000887066,0.04360576011240482,0.043136000633239746,0.04592160116881132,0.04740672044456005,0.04710400104522705,0.04963519964367151,13.04736328125,0.703563928604126,0.8158235549926758,0.003694473355504592,0.232578125,0.767421875,ok
1,8,64,1024,bf16,cuda,prefill,bigbird_keep_ratio,triton_bigbird,True,,0.5,,,real_cuda,triton_bigbird,0.005873280065134168,0.0059200001414865255,0.006608000141568481,0.049370880499482156,0.04915200173854828,0.051558399386703965,0.05207423947751522,0.051952000707387924,0.05381119959056377,13.06494140625,0.5097039937973022,0.8905529975891113,0.001954623564453328,0.4497560975609756,0.5502439024390244,ok
1,8,64,1024,bf16,cuda,prefill,bigbird,triton_universal,True,64,,,,real_cuda,triton_universal,0.0057536000292748215,0.005872000008821487,0.006144000217318535,0.037050240561366084,0.03686400130391121,0.03881439883261919,0.04001727946102619,0.03993599861860275,0.0415231991559267,13.033203125,0.9604340195655823,0.7178716063499451,0.0066695040937711295,0.11463414634146342,0.8853658536585366,ok
1,8,64,1024,bf16,cuda,prefill,bigbird,triton_universal,True,128,,,,real_cuda,triton_universal,0.00573504002764821,0.005807999987155199,0.006249599996954202,0.04119615949690342,0.04095999896526337,0.042979199439287186,0.044094720035791395,0.04403200000524521,0.045073600485920906,13.04736328125,0.6966482996940613,0.819753110408783,0.0035885989451645787,0.232578125,0.767421875,ok
1,8,64,1024,bf16,cuda,decode,dense,dense_sdpa,True,,,,,real_cuda,DenseSdpaBackend,0.004097919999621808,0.004095999989658594,0.00453119990415871,0.010782079938799143,0.010735999792814255,0.011264000087976456,0.011176960002630949,0.011264000087976456,0.011529600154608487,2.0029296875,0.0,1.0000001192092896,0.0,1.0,0.0,ok
1,8,64,1024,bf16,cuda,decode,bigbird_keep_ratio,triton_bigbird,True,,0.25,,,real_cuda,triton_bigbird,0.005756160067394375,0.005872000008821487,0.00616160009521991,0.03752000063657761,0.03691199980676174,0.03986399974673986,0.040220159590244296,0.03993599861860275,0.04198399931192398,2.01220703125,0.9883696436882019,0.16660714149475098,0.5067915303419207,0.25,0.75,ok
1,8,64,1024,bf16,cuda,decode,bigbird_keep_ratio,triton_bigbird,True,,0.5,,,real_cuda,triton_bigbird,0.005609600062016397,0.005504000000655651,0.006144000217318535,0.04909440040588379,0.04887999966740608,0.05155199933797121,0.0568838394805789,0.05222399905323982,0.055859200283885,2.01318359375,1.0015299320220947,0.0010876990854740143,0.47761169123177977,0.505859375,0.494140625,ok
1,8,64,1024,bf16,cuda,decode,bigbird,triton_universal,True,64,,,,real_cuda,triton_universal,0.0057465600408613685,0.005727999843657017,0.006144000217318535,0.032047999873757366,0.03174399957060814,0.03379200026392937,0.035115520227700474,0.03564799949526787,0.03747040014714002,2.01220703125,0.9957886338233948,0.09899723529815674,0.45450048223701706,0.0625,0.9375,ok
1,8,64,1024,bf16,cuda,decode,bigbird,triton_universal,True,128,,,,real_cuda,triton_universal,0.005596160034183412,0.005775999976322055,0.006144000217318535,0.03328832000494003,0.032816000282764435,0.03523839972913265,0.03897792033851147,0.035840000957250595,0.03766719996929169,2.01220703125,0.9971697330474854,0.0833449438214302,0.42643525271523847,0.119140625,0.880859375,ok
1,8,64,2048,bf16,cuda,prefill,dense,dense_sdpa,True,,,,,real_cuda,DenseSdpaBackend,0.004415360004641116,0.004095999989658594,0.006246400019153952,0.07209344118833542,0.07180800288915634,0.0727040022611618,0.07220352187752724,0.07265600189566612,0.07273920252919197,10.0634765625,0.0,0.9999998807907104,0.0,1.0,0.0,ok
1,8,64,2048,bf16,cuda,prefill,bigbird_keep_ratio,triton_bigbird,True,,0.25,,,real_cuda,triton_bigbird,0.005881600072607398,0.00598399993032217,0.0062672001309692854,0.06750784009695053,0.06743999943137169,0.06913600079715251,0.07061056077480315,0.070592001080513,0.07240479998290539,42.13330078125,0.8623508810997009,0.7564626932144165,0.0029986516987857686,0.24158125915080528,0.7584187408491947,ok
1,8,64,2048,bf16,cuda,prefill,bigbird_keep_ratio,triton_bigbird,True,,0.5,,,real_cuda,triton_bigbird,0.005882880035787821,0.00598399993032217,0.006214399985037744,0.07251904129981995,0.07243200019001961,0.07460800185799599,0.07509312197566033,0.07475200295448303,0.07648320123553276,42.087890625,0.33822157979011536,0.9472253918647766,0.000475500737612682,0.4414481911908248,0.5585518088091752,ok
1,8,64,2048,bf16,cuda,prefill,bigbird,triton_universal,True,64,,,,real_cuda,triton_universal,0.0057062400318682194,0.005807999987155199,0.006144000217318535,0.04835136078298092,0.048128001391887665,0.050089599378407,0.05148671939969063,0.05119999870657921,0.053201599046587944,42.06640625,1.4107680320739746,0.573447585105896,0.008223083054810353,0.058199121522694,0.941800878477306,ok
1,8,64,2048,bf16,cuda,prefill,bigbird,triton_universal,True,128,,,,real_cuda,triton_universal,0.005731200072914362,0.005792000098153949,0.006144000217318535,0.058795520439743995,0.058368001133203506,0.06112639978528023,0.061313279941678046,0.061375999823212624,0.062463998794555664,42.09619140625,1.0845565795898438,0.6766552925109863,0.004964670735017894,0.12015245622864812,0.8798475437713519,ok
1,8,64,2048,bf16,cuda,decode,dense,dense_sdpa,True,,,,,real_cuda,DenseSdpaBackend,0.009916160125285386,0.006144000217318535,0.012952000042423603,0.013295359890908003,0.01030399976298213,0.027078400459140485,0.012564480118453503,0.01228800043463707,0.01483040004968643,4.0029296875,0.0,1.0,0.0,1.0,0.0,ok
1,8,64,2048,bf16,cuda,decode,bigbird_keep_ratio,triton_bigbird,True,,0.25,,,real_cuda,triton_bigbird,0.005610240048263222,0.005664000054821372,0.00616160009521991,0.05853888057172298,0.048128001391887665,0.13687360044568736,0.05695295944809914,0.052191998809576035,0.05390240028500557,4.02099609375,0.9969737529754639,0.0835484191775322,0.45010118082560113,0.248046875,0.751953125,ok
1,8,64,2048,bf16,cuda,decode,bigbird_keep_ratio,triton_bigbird,True,,0.5,,,real_cuda,triton_bigbird,0.008832000177353621,0.006048000184819102,0.00744160003960132,0.05541887991130352,0.05526399984955788,0.0583296000957489,0.05651776026934385,0.058368001133203506,0.06097919996827841,4.02099609375,0.999107301235199,0.04312610626220703,0.41147958796414563,0.5,0.5,ok
1,8,64,2048,bf16,cuda,decode,bigbird,triton_universal,True,64,,,,real_cuda,triton_universal,0.005724800042808056,0.005760000087320805,0.006144000217318535,0.03111743990331888,0.030751999467611313,0.032785600051283836,0.03429248012602329,0.033952001482248306,0.035892801359295845,4.02001953125,1.0113108158111572,-0.002796746790409088,0.46927723588031883,0.03125,0.96875,ok
1,8,64,2048,bf16,cuda,decode,bigbird,triton_universal,True,128,,,,real_cuda,triton_universal,0.005817600060254335,0.005936000030487776,0.00616160009521991,0.033079680018126965,0.03292800113558769,0.03504799995571374,0.03606464058160782,0.035840000957250595,0.03772960044443607,4.02001953125,1.0084953308105469,-0.021795056760311127,0.4701605725463597,0.06005859375,0.93994140625,ok
